# Task 1 Regression Matrix Exclusions

Every exclusion has a file reference and reason. These items were discovered during broad `export const` and controller searches but intentionally excluded from matrix item counts.

| ID | File reference | Reason |
| --- | --- | --- |
| EX-01 | frontend/src/lib/constants.ts:5-41,87-147 | Non-route constants (app settings, messages, labels, categories, filter values) are not route constants and are excluded from route matrix counts. |
| EX-02 | frontend/src/lib/mockData.ts:26-935 | Mock data exports are fixtures, not frontend API functions or backend endpoints. |
| EX-03 | frontend/src/lib/api.mock.ts:72-216 | Mock API functions are mock-mode fixtures; real backend mapping is covered through api.real.ts and api.ts public wiring exceptions. |
| EX-04 | frontend/src/lib/api.real.ts:36-184 | Internal real API helpers/mappers (API_BASE_URL, icon maps, apiFetch, mapEventData, mapCourseData) are implementation details, not exported frontend API functions. |
| EX-05 | frontend/src/lib/auth.mock.ts:9-51 | Mock auth functions are mock-mode fixtures; real auth boundary is recorded through auth.real.ts. |
| EX-06 | frontend/src/lib/dateUtils.ts:10-45 | Date utilities are not route/module/API surfaces. |
| EX-07 | frontend/src/lib/iconMap.ts:21 | Icon lookup export is not a route/module/API surface. |
| EX-08 | frontend/src/lib/supabaseClient.ts:10 | Supabase client singleton is an external client boundary, not a local backend endpoint. |
| EX-09 | backend/test/test-utils.ts:3 | Test utility export is not an application module/controller endpoint. |
| EX-10 | backend/src/**/*.service.ts, backend/src/**/*.entity.ts, backend/src/**/*.dto.ts | Services/entities/DTOs are implementation internals for this task; module/controller/API surfaces are inventoried separately. |
